"Date","Start","End","Germany/Luxembourg [€/MWh]"
"Jan 5, 2022","12:00 AM","1:00 AM","105.31"
"Jan 5, 2022","1:00 AM","2:00 AM","97.29"
"Jan 5, 2022","2:00 AM","3:00 AM","84.50"
"Jan 5, 2022","3:00 AM","4:00 AM","75.38"
"Jan 5, 2022","4:00 AM","5:00 AM","79.11"
"Jan 5, 2022","5:00 AM","6:00 AM","94.79"
"Jan 5, 2022","6:00 AM","7:00 AM","99.16"
"Jan 5, 2022","7:00 AM","8:00 AM","101.15"
"Jan 5, 2022","8:00 AM","9:00 AM","129.56"
"Jan 5, 2022","9:00 AM","10:00 AM","113.37"
"Jan 5, 2022","10:00 AM","11:00 AM","94.43"
"Jan 5, 2022","11:00 AM","12:00 PM","98.10"
"Jan 5, 2022","12:00 PM","1:00 PM","95.68"
"Jan 5, 2022","1:00 PM","2:00 PM","96.80"
"Jan 5, 2022","2:00 PM","3:00 PM","107.32"
"Jan 5, 2022","3:00 PM","4:00 PM","119.48"
"Jan 5, 2022","4:00 PM","5:00 PM","137.28"
"Jan 5, 2022","5:00 PM","6:00 PM","148.09"
"Jan 5, 2022","6:00 PM","7:00 PM","139.88"
"Jan 5, 2022","7:00 PM","8:00 PM","135.75"
"Jan 5, 2022","8:00 PM","9:00 PM","119.93"
"Jan 5, 2022","9:00 PM","10:00 PM","98.09"
"Jan 5, 2022","10:00 PM","11:00 PM","118.71"
"Jan 5, 2022","11:00 PM","12:00 AM","99.68"
"Jan 6, 2022","12:00 AM","1:00 AM","99.85"
"Jan 6, 2022","1:00 AM","2:00 AM","101.32"
"Jan 6, 2022","2:00 AM","3:00 AM","110.01"
"Jan 6, 2022","3:00 AM","4:00 AM","111.55"
"Jan 6, 2022","4:00 AM","5:00 AM","123.37"
"Jan 6, 2022","5:00 AM","6:00 AM","149.94"
"Jan 6, 2022","6:00 AM","7:00 AM","185.92"
"Jan 6, 2022","7:00 AM","8:00 AM","228.25"
"Jan 6, 2022","8:00 AM","9:00 AM","228.92"
"Jan 6, 2022","9:00 AM","10:00 AM","212.90"
"Jan 6, 2022","10:00 AM","11:00 AM","215.50"
"Jan 6, 2022","11:00 AM","12:00 PM","231.90"
"Jan 6, 2022","12:00 PM","1:00 PM","226.00"
"Jan 6, 2022","1:00 PM","2:00 PM","209.20"
"Jan 6, 2022","2:00 PM","3:00 PM","216.06"
"Jan 6, 2022","3:00 PM","4:00 PM","230.77"
"Jan 6, 2022","4:00 PM","5:00 PM","245.95"
"Jan 6, 2022","5:00 PM","6:00 PM","274.11"
"Jan 6, 2022","6:00 PM","7:00 PM","273.44"
"Jan 6, 2022","7:00 PM","8:00 PM","245.48"
"Jan 6, 2022","8:00 PM","9:00 PM","226.14"
"Jan 6, 2022","9:00 PM","10:00 PM","208.31"
"Jan 6, 2022","10:00 PM","11:00 PM","178.75"
"Jan 6, 2022","11:00 PM","12:00 AM","124.70"
"Jan 7, 2022","12:00 AM","1:00 AM","128.92"
"Jan 7, 2022","1:00 AM","2:00 AM","118.40"
"Jan 7, 2022","2:00 AM","3:00 AM","103.01"
"Jan 7, 2022","3:00 AM","4:00 AM","101.91"
"Jan 7, 2022","4:00 AM","5:00 AM","101.98"
"Jan 7, 2022","5:00 AM","6:00 AM","114.99"
"Jan 7, 2022","6:00 AM","7:00 AM","140.19"
"Jan 7, 2022","7:00 AM","8:00 AM","152.64"
"Jan 7, 2022","8:00 AM","9:00 AM","160.97"
"Jan 7, 2022","9:00 AM","10:00 AM","161.85"
"Jan 7, 2022","10:00 AM","11:00 AM","161.37"
"Jan 7, 2022","11:00 AM","12:00 PM","166.06"
"Jan 7, 2022","12:00 PM","1:00 PM","166.54"
"Jan 7, 2022","1:00 PM","2:00 PM","166.04"
"Jan 7, 2022","2:00 PM","3:00 PM","169.43"
"Jan 7, 2022","3:00 PM","4:00 PM","189.70"
"Jan 7, 2022","4:00 PM","5:00 PM","201.97"
"Jan 7, 2022","5:00 PM","6:00 PM","243.11"
"Jan 7, 2022","6:00 PM","7:00 PM","253.81"
"Jan 7, 2022","7:00 PM","8:00 PM","237.05"
"Jan 7, 2022","8:00 PM","9:00 PM","224.33"
"Jan 7, 2022","9:00 PM","10:00 PM","213.81"
"Jan 7, 2022","10:00 PM","11:00 PM","185.94"
"Jan 7, 2022","11:00 PM","12:00 AM","148.32"
"Jan 8, 2022","12:00 AM","1:00 AM","164.17"
"Jan 8, 2022","1:00 AM","2:00 AM","152.83"
"Jan 8, 2022","2:00 AM","3:00 AM","166.00"
"Jan 8, 2022","3:00 AM","4:00 AM","160.86"
"Jan 8, 2022","4:00 AM","5:00 AM","160.00"
"Jan 8, 2022","5:00 AM","6:00 AM","154.30"
"Jan 8, 2022","6:00 AM","7:00 AM","166.00"
"Jan 8, 2022","7:00 AM","8:00 AM","182.91"
"Jan 8, 2022","8:00 AM","9:00 AM","215.89"
"Jan 8, 2022","9:00 AM","10:00 AM","231.00"
"Jan 8, 2022","10:00 AM","11:00 AM","228.95"
"Jan 8, 2022","11:00 AM","12:00 PM","215.39"
"Jan 8, 2022","12:00 PM","1:00 PM","206.68"
"Jan 8, 2022","1:00 PM","2:00 PM","185.00"
"Jan 8, 2022","2:00 PM","3:00 PM","169.52"
"Jan 8, 2022","3:00 PM","4:00 PM","162.80"
"Jan 8, 2022","4:00 PM","5:00 PM","161.34"
"Jan 8, 2022","5:00 PM","6:00 PM","189.90"
"Jan 8, 2022","6:00 PM","7:00 PM","170.71"
"Jan 8, 2022","7:00 PM","8:00 PM","140.23"
"Jan 8, 2022","8:00 PM","9:00 PM","102.54"
"Jan 8, 2022","9:00 PM","10:00 PM","102.18"
"Jan 8, 2022","10:00 PM","11:00 PM","102.29"
"Jan 8, 2022","11:00 PM","12:00 AM","90.05"
"Jan 9, 2022","12:00 AM","1:00 AM","85.03"
"Jan 9, 2022","1:00 AM","2:00 AM","84.40"
"Jan 9, 2022","2:00 AM","3:00 AM","80.24"
"Jan 9, 2022","3:00 AM","4:00 AM","55.46"
"Jan 9, 2022","4:00 AM","5:00 AM","49.29"
"Jan 9, 2022","5:00 AM","6:00 AM","50.64"
"Jan 9, 2022","6:00 AM","7:00 AM","74.29"
"Jan 9, 2022","7:00 AM","8:00 AM","84.44"
"Jan 9, 2022","8:00 AM","9:00 AM","97.26"
"Jan 9, 2022","9:00 AM","10:00 AM","119.97"
"Jan 9, 2022","10:00 AM","11:00 AM","134.96"
"Jan 9, 2022","11:00 AM","12:00 PM","149.40"
"Jan 9, 2022","12:00 PM","1:00 PM","165.13"
"Jan 9, 2022","1:00 PM","2:00 PM","165.06"
"Jan 9, 2022","2:00 PM","3:00 PM","170.09"
"Jan 9, 2022","3:00 PM","4:00 PM","189.04"
"Jan 9, 2022","4:00 PM","5:00 PM","190.96"
"Jan 9, 2022","5:00 PM","6:00 PM","223.30"
"Jan 9, 2022","6:00 PM","7:00 PM","243.94"
"Jan 9, 2022","7:00 PM","8:00 PM","240.00"
"Jan 9, 2022","8:00 PM","9:00 PM","230.82"
"Jan 9, 2022","9:00 PM","10:00 PM","214.02"
"Jan 9, 2022","10:00 PM","11:00 PM","215.88"
"Jan 9, 2022","11:00 PM","12:00 AM","203.80"
"Jan 10, 2022","12:00 AM","1:00 AM","196.23"
"Jan 10, 2022","1:00 AM","2:00 AM","191.85"
"Jan 10, 2022","2:00 AM","3:00 AM","195.91"
"Jan 10, 2022","3:00 AM","4:00 AM","186.66"
"Jan 10, 2022","4:00 AM","5:00 AM","178.04"
"Jan 10, 2022","5:00 AM","6:00 AM","191.65"
"Jan 10, 2022","6:00 AM","7:00 AM","237.44"
"Jan 10, 2022","7:00 AM","8:00 AM","299.95"
"Jan 10, 2022","8:00 AM","9:00 AM","313.92"
"Jan 10, 2022","9:00 AM","10:00 AM","315.00"
"Jan 10, 2022","10:00 AM","11:00 AM","310.41"
"Jan 10, 2022","11:00 AM","12:00 PM","310.08"
"Jan 10, 2022","12:00 PM","1:00 PM","300.00"
"Jan 10, 2022","1:00 PM","2:00 PM","297.01"
"Jan 10, 2022","2:00 PM","3:00 PM","299.96"
"Jan 10, 2022","3:00 PM","4:00 PM","306.45"
"Jan 10, 2022","4:00 PM","5:00 PM","302.73"
"Jan 10, 2022","5:00 PM","6:00 PM","315.47"
"Jan 10, 2022","6:00 PM","7:00 PM","310.82"
"Jan 10, 2022","7:00 PM","8:00 PM","294.98"
"Jan 10, 2022","8:00 PM","9:00 PM","267.45"
"Jan 10, 2022","9:00 PM","10:00 PM","242.29"
"Jan 10, 2022","10:00 PM","11:00 PM","217.03"
"Jan 10, 2022","11:00 PM","12:00 AM","195.83"
"Jan 11, 2022","12:00 AM","1:00 AM","210.34"
"Jan 11, 2022","1:00 AM","2:00 AM","202.42"
"Jan 11, 2022","2:00 AM","3:00 AM","197.60"
"Jan 11, 2022","3:00 AM","4:00 AM","193.00"
"Jan 11, 2022","4:00 AM","5:00 AM","194.90"
"Jan 11, 2022","5:00 AM","6:00 AM","204.45"
"Jan 11, 2022","6:00 AM","7:00 AM","237.13"
"Jan 11, 2022","7:00 AM","8:00 AM","298.68"
"Jan 11, 2022","8:00 AM","9:00 AM","302.02"
"Jan 11, 2022","9:00 AM","10:00 AM","297.16"
"Jan 11, 2022","10:00 AM","11:00 AM","277.02"
"Jan 11, 2022","11:00 AM","12:00 PM","266.43"
"Jan 11, 2022","12:00 PM","1:00 PM","254.92"
"Jan 11, 2022","1:00 PM","2:00 PM","248.89"
"Jan 11, 2022","2:00 PM","3:00 PM","255.01"
"Jan 11, 2022","3:00 PM","4:00 PM","277.90"
"Jan 11, 2022","4:00 PM","5:00 PM","289.94"
"Jan 11, 2022","5:00 PM","6:00 PM","316.40"
"Jan 11, 2022","6:00 PM","7:00 PM","315.90"
"Jan 11, 2022","7:00 PM","8:00 PM","309.20"
"Jan 11, 2022","8:00 PM","9:00 PM","285.33"
"Jan 11, 2022","9:00 PM","10:00 PM","245.44"
"Jan 11, 2022","10:00 PM","11:00 PM","237.27"
"Jan 11, 2022","11:00 PM","12:00 AM","212.49"
"Jan 12, 2022","12:00 AM","1:00 AM","196.65"
"Jan 12, 2022","1:00 AM","2:00 AM","187.10"
"Jan 12, 2022","2:00 AM","3:00 AM","184.27"
"Jan 12, 2022","3:00 AM","4:00 AM","179.58"
"Jan 12, 2022","4:00 AM","5:00 AM","178.33"
"Jan 12, 2022","5:00 AM","6:00 AM","193.50"
"Jan 12, 2022","6:00 AM","7:00 AM","240.56"
"Jan 12, 2022","7:00 AM","8:00 AM","273.18"
"Jan 12, 2022","8:00 AM","9:00 AM","300.10"
"Jan 12, 2022","9:00 AM","10:00 AM","292.74"
"Jan 12, 2022","10:00 AM","11:00 AM","275.50"
"Jan 12, 2022","11:00 AM","12:00 PM","258.65"
"Jan 12, 2022","12:00 PM","1:00 PM","245.11"
"Jan 12, 2022","1:00 PM","2:00 PM","232.08"
"Jan 12, 2022","2:00 PM","3:00 PM","234.77"
"Jan 12, 2022","3:00 PM","4:00 PM","240.01"
"Jan 12, 2022","4:00 PM","5:00 PM","255.00"
"Jan 12, 2022","5:00 PM","6:00 PM","284.82"
"Jan 12, 2022","6:00 PM","7:00 PM","285.97"
"Jan 12, 2022","7:00 PM","8:00 PM","269.03"
"Jan 12, 2022","8:00 PM","9:00 PM","235.25"
"Jan 12, 2022","9:00 PM","10:00 PM","191.50"
"Jan 12, 2022","10:00 PM","11:00 PM","193.69"
"Jan 12, 2022","11:00 PM","12:00 AM","172.18"
"Jan 13, 2022","12:00 AM","1:00 AM","173.14"
"Jan 13, 2022","1:00 AM","2:00 AM","161.69"
"Jan 13, 2022","2:00 AM","3:00 AM","153.58"
"Jan 13, 2022","3:00 AM","4:00 AM","147.07"
"Jan 13, 2022","4:00 AM","5:00 AM","152.47"
"Jan 13, 2022","5:00 AM","6:00 AM","171.26"
"Jan 13, 2022","6:00 AM","7:00 AM","192.03"
"Jan 13, 2022","7:00 AM","8:00 AM","215.24"
"Jan 13, 2022","8:00 AM","9:00 AM","235.90"
"Jan 13, 2022","9:00 AM","10:00 AM","219.99"
"Jan 13, 2022","10:00 AM","11:00 AM","180.08"
